0xe00f0493,UIFS_DisconnectVideo_FW
0xe00f04b7,UIFS_MoveZoomTo_FW
0xe00f04b9,UIFS_MoveZoomToPositionWithTaskSwCtrlServ_FW
0xe00f04bb,UIFS_GetNumOfOptZoomPos_FW
0xe00f04bf,UIFS_StopPostingUIEvent_FW
0xe00f04c1,UIFS_RestartPostingUIEvent_FW
0xe00f04c3,UIFS_PostModeDial_FW
0xe00f04ed,j_UIFS_Capture_FW
0xe00f04f1,j_UIFS_CaptureNoneStop_FW
0xe00f04f5,j_UIFS_StartMovieRecord_FW
0xe00f04f9,j_UIFS_StopMovieRecord_FW
0xe00f04fd,UIFS_StartClockMode_FW
0xe00f0501,UIFS_EndClockMode_FW
0xe00f0505,UIFS_SetCradleSetting_FW
0xe00f0507,j_UIFS_WriteFirmInfoToFile_FW
0xe00f050b,j_UIFS_GetMovieRecoadableNumber_FW
0xe00f050f,j_UIFS_GetStillShotableNumber_FW
0xe00f0513,UIFS_ChangeShootState_FW
0xe00f0529,UIFS_GetLastPath_FW
0xe00f054d,UIFS_GetAvItemCount_FW
0xe00f058b,UIFS_GetTvItemCount_FW
0xe00f05cb,UIFS_GetAvItem_FW
0xe00f05ef,UIFS_GetTvItem_FW
0xe00f0613,UIFS_GetCurrentAvString_FW
0xe00f06af,UIFS_GetCurrentTvString_FW
0xe00f070b,j_UIFS_IsAvailableShots_FW
0xe00f070f,UIFS_IsOperationEvent_FW
0xe00f0737,UIFS_SetTouchOperation_FW
0xe00f0751,j_UIFS_StartMoviePlay_FW
0xe00f0755,UIFS_PostBatAuthOK_FW
0xe00f076d,UIFS_PostBatAuthNG_FW
0xe00f0787,UIFS_PostBatNoChange_FW
0xe00f07a1,UIFS_ExtEvfErrorForExtEvf_FW
0xe00f07a7,UIFS_ExtEvfErrorForPDS_FW
0xe00f07ad,j_UIFS_ExtEvfDrvInitErr_FW
0xe00f07b1,j_UIFS_ExtEvfCnctErr_FW
0xe00f07b5,j_UIFS_GetNumberOfDisplayedImage_FW
0xe00f07b9,j_UIFS_PlayTrimExecuteAllImageSize_FW
0xe00f07bd,j_UIFS_WirelessExecuteSendForever_FW
0xe00f07c1,j_UIFS_CancelStoreLensTimer_FW
0xe00f07c5,UIFS_DisplayFirmUpdateView_FW
